,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Standard Deviation,RMS,Label
73,1.510075713,0.705416424,0.716118915,0.0838717,0.99668725,0.007034462,0.000327268,0.000327624,2
214,78.79605911,3.321182266,0.397177271,0.067101842,0.816360593,0.004502657,0.000261672,0.000262117,2
261,22.94149569,2.018064228,0.452687762,0.048310659,0.976018485,0.00233392,0.000188096,0.000188714,2
68,12.28762999,1.537766831,0.56368339,0.066048098,0.973739884,0.004362351,0.000257549,0.000258,1
84,23.47550717,1.716971796,0.538527886,0.069214518,0.942522423,0.004790649,0.000269938,0.000270369,1
185,20.40977069,2.160518445,0.467948822,0.046657131,0.979439991,0.002176888,0.000181615,0.000182254,1
13,11.30620942,2.206371753,0.419644471,0.051040046,0.992997182,0.002605086,0.00019879,0.000199375,1
254,24.18322131,1.635051033,0.592060265,0.090874698,0.918715407,0.008258211,0.000354651,0.000354979,1
264,5.374301025,1.573974837,0.477006133,0.053867124,0.989329213,0.002901667,0.000209864,0.000210418,1
21,27.53810872,2.323824679,0.430501835,0.039384354,0.979551392,0.001551127,0.000153087,0.000153845,2
51,9.757358607,2.11796887,0.415812407,0.041780928,0.99455589,0.001745646,0.000162492,0.000163207,1
224,16.61738433,2.564933578,0.383174337,0.042853773,0.989342507,0.001836446,0.000166701,0.000167398,1
104,30.85585586,2.894707207,0.377816626,0.042192645,0.974500634,0.001780219,0.000164107,0.000164815,1
170,31.26984127,2.466931217,0.496444336,0.089763322,0.892492612,0.008057454,0.000350306,0.000350638,2
117,8.951400942,1.568559385,0.533300869,0.077020672,0.96670783,0.005932184,0.000300475,0.000300862,2
90,5.14409423,1.460272511,0.504642539,0.048648171,0.996332699,0.002366645,0.000189418,0.000190032,2
132,15.35472222,2.043293651,0.439279895,0.042395097,0.984837464,0.001797344,0.000164901,0.000165606,2
160,8.151515152,1.950812473,0.426502904,0.049857896,0.985907139,0.00248581,0.000194159,0.000194757,1
130,17.29896668,1.841866945,0.50138891,0.071073971,0.944465354,0.005051509,0.000277213,0.000277633,2
157,122.8970474,5.317404817,0.292207688,0.035634985,0.918272169,0.001269852,0.00013836,0.000139199,3
175,34.1984127,2.727106227,0.425670748,0.055003954,0.948865606,0.003025435,0.000214317,0.000214859,2
79,1.749769585,0.914285714,0.619682588,0.089008116,0.993786407,0.007922445,0.000347353,0.000347688,1
192,16.29858907,2.454426808,0.380182398,0.035328581,0.989357931,0.001248109,0.000137156,0.000138002,2
168,37.80196078,4.441176471,0.215547652,0.05174762,0.927787021,0.002677816,0.000201562,0.000202139,2
118,14.43601954,1.815262515,0.504558314,0.058242094,0.982498509,0.003392142,0.000226996,0.000227508,2
2,11.91958042,2.206293706,0.408608955,0.053245676,0.96874785,0.002835102,0.00020743,0.000207991,1
35,2.856947109,1.18580433,0.554666645,0.089222199,0.99249672,0.007960601,0.00034819,0.000348524,1
198,12.89570772,1.906187195,0.500163709,0.050164512,0.987089129,0.002516478,0.00019536,0.000195955,2
147,9.27796496,1.864218329,0.462429318,0.065055316,0.967547745,0.004232194,0.000253664,0.000254122,2
83,47.22681643,3.072516673,0.392174506,0.037993425,0.969735812,0.0014435,0.000147625,0.000148412,2
150,41.27454266,3.657729367,0.294644421,0.030669555,0.979771586,0.000940622,0.000118827,0.000119803,3
31,23.74469306,2.526104418,0.406853723,0.058629022,0.94888634,0.003437362,0.000228511,0.00022902,1
246,31.0119863,2.80944227,0.419047257,0.05822072,0.964434471,0.003389652,0.000226912,0.000227425,2
9,9.772032694,1.65310353,0.513468175,0.059079758,0.981362271,0.003490418,0.000230275,0.00023078,1
112,29.82459207,2.416958042,0.447518105,0.043333932,0.979391983,0.00187783,0.000168584,0.000169273,2
60,17.8412539,1.876580396,0.563385889,0.074069239,0.977547751,0.005486252,0.00028893,0.000289333,2
212,44.56276718,3.05479095,0.375127334,0.035476589,0.971703683,0.001258588,0.000137738,0.00013858,2
249,44.44469246,2.839037698,0.498604396,0.102001183,0.949679545,0.010404241,0.00039815,0.000398442,2
125,28.75566232,2.242278655,0.41738296,0.045687345,0.967837144,0.002087333,0.000177813,0.000178466,2
142,12.26190476,2.723809524,0.298205335,0.050975462,0.985389076,0.002598498,0.000198537,0.000199123,2
196,18.86521739,2.693478261,0.398794651,0.052983556,0.978637788,0.002807257,0.000206404,0.000206967,2
110,31.18933002,3.750124069,0.281781636,0.032677649,0.973092262,0.001067829,0.000126732,0.000127647,2
119,5.944515494,1.31254304,0.581375989,0.073468424,0.987135517,0.005397609,0.00028658,0.000286986,2
65,33.47222222,2.917328042,0.408461069,0.051394038,0.946485821,0.002641347,0.000200177,0.000200758,1
95,14.53605442,2.446938776,0.386209846,0.056881082,0.989250371,0.003235457,0.000221667,0.000222192,1
67,6.723889556,1.068293984,0.6417682,0.095519398,0.967192436,0.009123955,0.000372811,0.000373123,1
227,4.260292524,1.155200433,0.583874898,0.101134309,0.95556835,0.010228148,0.000394761,0.000395056,2
228,10.45942685,1.538159879,0.541418482,0.099469552,0.919133064,0.009894192,0.000388253,0.000388553,2
11,19.93084416,2.757251082,0.34742631,0.050553522,0.971539047,0.002555659,0.000196884,0.000197475,1
102,22.02364418,2.522652116,0.403627889,0.058210687,0.942238115,0.003388484,0.000226873,0.000227385,2
53,19.11656527,1.678051254,0.579615511,0.069517154,0.976054106,0.004832635,0.000271122,0.000271551,2
211,31.28502585,2.547796373,0.397686295,0.040989204,0.975975547,0.001680115,0.000159385,0.000160114,1
184,73.40759371,3.867464044,0.36659948,0.050211269,0.90611788,0.002521172,0.000195543,0.000196138,2
59,34.00133203,2.654548408,0.47283583,0.04746905,0.977522999,0.002253311,0.000184797,0.000185426,2
260,3.83383421,1.379038317,0.508409512,0.064027581,0.993952392,0.004099531,0.000249642,0.000250108,3
37,31.80714286,2.845956873,0.408741984,0.049762953,0.947588819,0.002476352,0.000193787,0.000194387,2
162,10.76078431,2.234509804,0.38573101,0.036667388,0.993408353,0.001344497,0.000142417,0.000143232,2
93,4.43989071,1.43715847,0.505100894,0.062680613,0.995659838,0.003928859,0.00024437,0.000244846,2
215,27.81242424,1.898484848,0.504527141,0.095097939,0.764281311,0.009043618,0.000371163,0.000371476,1
70,4.447644764,1.322832283,0.528517774,0.061145055,0.993807792,0.003738718,0.00023836,0.000238848,1
45,25.83584337,2.535240964,0.453012099,0.060404897,0.923366667,0.003648752,0.000235463,0.000235957,1
28,21.85649123,2.381403509,0.403638548,0.037649172,0.991191876,0.00141746,0.000146273,0.000147067,1
155,18.93251812,2.05298913,0.466312972,0.086955342,0.878025497,0.007561232,0.000339326,0.000339669,2
139,46.25792453,2.638679245,0.443031966,0.071252838,0.828233983,0.005076967,0.000277913,0.000278331,2
201,20.3337969,2.512317648,0.382715367,0.03639386,0.985621408,0.001324513,0.000141342,0.000142164,2
107,26.35827664,2.59334845,0.394955704,0.056930076,0.937577343,0.003241034,0.000221859,0.000222383,2
75,24.65157086,1.967747326,0.546481045,0.08343524,0.902280247,0.006961439,0.000325562,0.000325919,1
144,23.6043771,2.806397306,0.357611335,0.038881965,0.981491645,0.001511807,0.000151114,0.000151883,2
136,56.69047619,2.932679739,0.4328889,0.066824191,0.923011911,0.004465472,0.000260586,0.000261032,2
156,60.57760532,3.561133988,0.363222676,0.046845559,0.924589202,0.002194506,0.000182353,0.00018299,2
24,10.80244461,1.518411001,0.565582687,0.081020212,0.967209982,0.006564275,0.000316117,0.000316485,1
220,44.38799495,2.930034598,0.411243723,0.04203496,0.960540405,0.001766938,0.000163489,0.000164199,2
38,36.63035699,2.913502662,0.419120779,0.054458889,0.978942016,0.002965771,0.000212182,0.00021273,2
46,15.17898305,2.274576271,0.426148304,0.050072628,0.979417098,0.002507268,0.000195,0.000195596,1
173,184.7695853,7.465437788,0.257256974,0.046983214,0.932412169,0.002207422,0.000182893,0.000183528,2
99,30.12685381,2.762976695,0.383419191,0.045217822,0.962299707,0.002044651,0.000175972,0.000176632,1
49,19.56014184,2.543971631,0.385753986,0.036518694,0.990712593,0.001333615,0.000141833,0.000142651,2
27,4.703724856,1.529411765,0.480507596,0.055050094,0.991664258,0.003030513,0.000214497,0.000215039,1
161,36.81169772,3.159213251,0.353898433,0.035911591,0.973346978,0.001289642,0.000139447,0.00014028,3
122,7.217204301,1.802795699,0.455716845,0.048208931,0.994442654,0.002324101,0.000187697,0.000188316,2
248,10.78158711,2.06310034,0.427800249,0.046675807,0.995722124,0.002178631,0.000181688,0.000182327,1
8,61.17248521,3.772485207,0.367334395,0.047916208,0.953249513,0.002295963,0.00018655,0.000187173,1
163,17.21320406,2.353739612,0.406137863,0.04181847,0.981449451,0.001748784,0.000162639,0.000163353,2
179,106.8668293,5.77804878,0.333813723,0.045094916,0.954964306,0.002033551,0.00017549,0.000176152,2
210,29.62133333,2.683474747,0.385780654,0.034310977,0.986075965,0.001177243,0.000133156,0.000134027,2
241,25.57551457,2.510558674,0.41060447,0.049558736,0.976268572,0.002456068,0.000192987,0.000193589,2
131,33.90165217,2.690811594,0.412858786,0.034701984,0.98581049,0.001204228,0.000134693,0.000135555,2
86,104.5230576,3.693483709,0.371442291,0.043182383,0.938039692,0.001864718,0.00016799,0.000168681,2
199,13.00071615,1.870117188,0.480845856,0.051825186,0.981122474,0.00268585,0.000201866,0.000202442,2
190,22.96667436,2.207496344,0.453350983,0.075052705,0.904578372,0.005632909,0.000292777,0.000293175,2
169,41.89828739,2.959273183,0.411150863,0.061169343,0.889755938,0.003741689,0.000238455,0.000238943,2
206,27.42735043,2.577940578,0.404358016,0.039333818,0.984496223,0.001547149,0.000152888,0.000153648,2
111,17.49393939,1.796650718,0.514930284,0.082297578,0.930092987,0.006772891,0.000321113,0.000321475,2
133,57.36815814,2.483122815,0.475070191,0.066240694,0.922461054,0.00438783,0.000258302,0.000258753,2
153,30.65034483,2.666896552,0.36190695,0.064772537,0.906248032,0.004195482,0.000252557,0.000253018,2
230,22.684,1.862666667,0.525473605,0.07487566,0.9514792,0.005606364,0.000292085,0.000292483,1
72,4.080026455,0.888888889,0.699938076,0.124542718,0.950101641,0.015510889,0.000486256,0.000486495,2
47,18.20681818,2.102990431,0.465007691,0.059440073,0.955510343,0.003533122,0.000231686,0.000232188,2
92,3.043181818,1.104063361,0.587178119,0.06772601,0.993594413,0.004586812,0.000264114,0.000264555,1
26,11.89441566,1.855129534,0.4637966,0.035252349,0.995008542,0.001242728,0.000136856,0.000137704,2
138,47.78284905,2.787366008,0.413716561,0.042550938,0.960126014,0.001810582,0.000165513,0.000166215,3
197,13.51908397,1.746588018,0.54840651,0.076662086,0.971863756,0.005877075,0.000299072,0.000299461,2
55,22.42527174,2.030042271,0.540592418,0.07128386,0.970161181,0.005081389,0.000278034,0.000278453,2
194,32.67079755,3.47791411,0.328025741,0.031539411,0.982961943,0.000994734,0.000122252,0.000123201,2
158,19.98850704,3.001915493,0.331718169,0.030082291,0.98888039,0.000904944,0.000116514,0.000117509,2
188,75.12220835,3.30725482,0.429904003,0.050833788,0.919631009,0.002584074,0.000197982,0.000198569,2
