0,1,2
1.5966966248654688,1.5966966248654688,1.5966966248654688
1.3871055998989743,1.3871055998989743,1.3871055998989743
1.61278121708677,1.61278121708677,1.61278121708677
1.254970980473125,1.254970980473125,1.254970980473125
3.083379784721092,3.083379784721092,3.083379784721092
2.0323630011910265,2.0323630011910265,2.0323630011910265
1.5558750439210804,1.5558750439210804,1.5558750439210804
1.2566548163437183,1.2566548163437183,1.2566548163437183
1.719075685387817,1.719075685387817,1.719075685387817
1.7161332748016533,1.7161332748016533,1.7161332748016533
8.734302582598275,8.734302582598275,8.734302582598275
8.48723188839671,8.48723188839671,8.48723188839671
1.1624859306342894,1.1624859306342894,1.1624859306342894
1.9556682957634808,1.9556682957634808,1.9556682957634808
9.379218313269702,9.379218313269702,9.379218313269702
