'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature',diagnostic
0.408994,0.331138,0.842077,0.354599,0.88555,0.125885,1
0.688751,0.451858,0.796709,0.291982,0.89486,0.085424,1
1.274262,0.661387,0.72453,0.294923,0.810011,0.087167,1
0.202259,0.197088,0.901969,0.420041,0.913009,0.176554,1
0.144447,0.138171,0.931529,0.515858,0.903945,0.2662,1
0.39451,0.320002,0.847105,0.264508,0.956565,0.070071,1
0.177729,0.173617,0.913599,0.391398,0.948358,0.153224,1
0.138858,0.131635,0.934893,0.393406,0.965306,0.154822,1
0.227254,0.20832,0.89763,0.331185,0.962256,0.109772,1
0.115842,0.115616,0.942215,0.494547,0.987033,0.244617,6
0.07776,0.076021,0.962162,0.464267,0.970823,0.215577,1
0.169513,0.163219,0.919018,0.422252,0.944754,0.178372,3
0.510895,0.398331,0.811851,0.27924,0.917418,0.07813,2
0.535235,0.398668,0.813516,0.297814,0.893602,0.088876,4
0.073471,0.073446,0.96328,0.525764,0.958222,0.276466,3
0.372926,0.338514,0.83414,0.341109,0.910286,0.116536,6
0.170747,0.168981,0.915685,0.479525,0.91066,0.230014,3
0.876816,0.51671,0.774723,0.270751,0.889342,0.07348,1
0.121394,0.120514,0.939831,0.433353,0.954597,0.187826,1
0.237047,0.206918,0.899458,0.369275,0.958475,0.136427,2
0.331327,0.289516,0.859313,0.233792,0.979722,0.054754,2
0.072515,0.072448,0.963783,0.39835,0.989176,0.158704,4
0.142483,0.140139,0.930163,0.463921,0.928632,0.215316,1
0.240885,0.180116,0.915677,0.324193,0.97081,0.105129,1
0.125008,0.124209,0.937974,0.405566,0.964027,0.164519,2
0.521063,0.316963,0.859923,0.356626,0.912076,0.127268,1
0.071962,0.071921,0.964044,0.287729,0.996369,0.0828,1
0.091812,0.091741,0.954137,0.37988,0.98303,0.144321,1
0.050619,0.050613,0.974694,0.449503,0.983984,0.202072,2
0.218686,0.172927,0.917875,0.270625,0.987826,0.073274,1
0.261139,0.223791,0.891695,0.298906,0.970416,0.089456,3
0.087661,0.087202,0.956445,0.439774,0.9784,0.193436,1
0.158192,0.136791,0.933547,0.455275,0.93794,0.207328,2
0.24385,0.235813,0.882896,0.355197,0.947811,0.126304,1
0.175013,0.163095,0.919613,0.341196,0.973475,0.116464,1
0.101388,0.101191,0.949424,0.542086,0.96075,0.293883,1
0.128526,0.114638,0.944015,0.298705,0.99199,0.089234,1
1.631781,0.709478,0.723687,0.266928,0.810332,0.07138,1
0.361568,0.293489,0.859931,0.353202,0.928771,0.124909,1
0.120516,0.120156,0.939958,0.501775,0.951226,0.251812,5
0.234402,0.202379,0.90186,0.350406,0.956351,0.122862,3
0.146002,0.118598,0.943282,0.59584,0.958911,0.355071,4
0.15306,0.149174,0.925763,0.459023,0.96153,0.210771,1
0.140928,0.132971,0.934273,0.623152,0.952963,0.388345,1
0.148385,0.146579,0.926891,0.35449,0.981951,0.125749,1
0.136472,0.135799,0.932168,0.459782,0.946227,0.211501,3
0.132575,0.132538,0.933734,0.447361,0.956815,0.200158,1
0.40944,0.323117,0.84674,0.253104,0.964872,0.064136,2
0.585931,0.330611,0.857754,0.439054,0.828931,0.192849,1
0.153005,0.138809,0.931862,0.425822,0.962609,0.181358,2
0.14087,0.123238,0.940043,0.319619,0.985578,0.102178,1
0.407133,0.305758,0.856766,0.234374,0.982437,0.054984,1
0.206047,0.199121,0.901124,0.425617,0.934815,0.181342,1
0.189329,0.184101,0.908468,0.292393,0.985175,0.085506,5
0.195155,0.185135,0.908425,0.300132,0.978331,0.090131,1
0.591365,0.410155,0.812296,0.330529,0.873056,0.109387,1
0.233292,0.229799,0.885438,0.314746,0.965945,0.099157,1
0.154077,0.142502,0.929888,0.377377,0.979657,0.142454,2
