Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,Mean Feature,Variance Feature,Standard Deviation Feature,RMS Feature
5.944560885062744,1.8185701969598624,0.4225848171856169,0.11412459631396751,0.7311032637235388,0.013043704750800156,477.3009259259259,735156.7381472908,857.412816645104,981.311832210861
4.126828091694401,1.4354069593508099,0.5026060137831263,0.12359327706394,0.8023519888591426,0.015341356291210563,149.72222222222223,89073.37654320987,298.4516318320439,333.901363235268
4.87555401222803,1.5797657183113478,0.47389782489642646,0.11036376191428282,0.7926535945742205,0.012203830882413913,3942.793209876543,45927191.39705266,6776.9603360985275,7840.4597883607075
4.947277996006216,1.5871633860011898,0.47236578661114204,0.10839130599750443,0.8052367699850209,0.011772056217856482,1688.9807098765432,8029104.251942705,2833.5674073405603,3298.7512925769015
1.5998582310105176,0.9158934211313765,0.607674918446395,0.15616548818595155,0.8845993386272505,0.024436638884547224,11145.769031141868,753138012.4821206,27443.36008002884,17575.96728192587
1.8368314160477004,0.9157036225844465,0.6272214439989163,0.1380757166444495,0.929934518078775,0.01909255703088724,3756.668209876543,73193256.2325079,8555.305735770517,9343.757930918639
2.132224645354645,0.9904728561438562,0.6049818482993211,0.13578839389668437,0.9136951167838998,0.018470329747107384,3087.962962962963,47533333.37362826,6894.4422090281,7554.392671436882
3.1867919147639845,1.2582568931864528,0.5354417589193041,0.12009697103992516,0.8749990173549389,0.014492210109064431,1574.5462962962963,9164023.29106653,3027.213783508943,3412.216190432094
3.0550261653449544,1.1714192587538235,0.5628293608368642,0.12375281618140668,0.885431818686442,0.015368448181197482,3330.250771604938,44139286.97183583,6643.74043531472,7431.679297010273
3.4633220379943186,1.2339917773855893,0.5522765505493133,0.1228528379262201,0.8681182139621839,0.01514349338158313,4234.032407407408,70039873.53444359,8368.98282555554,9379.067328973588
2.250716279926415,1.0532774320265967,0.5785358469860784,0.14203368143207445,0.8967232657232737,0.020228104512787802,817.8001543209876,3715292.568858001,1927.509421211217,2093.8217835492665
2.6462750526032623,1.1359983094749557,0.5661636029060325,0.12361230036865233,0.9051468625606383,0.015349544571769597,2645.1010802469136,27804135.510616113,5272.962688149435,5899.211407920512
