0,1,2
9.382452567965466,9.382452567965466,9.382452567965466
1.1626345888483323,1.1626345888483323,1.1626345888483323
3.2726209440302143,3.2726209440302143,3.2726209440302143
2.618730224689741,2.618730224689741,2.618730224689741
1.9556700192080465,1.9556700192080465,1.9556700192080465
3.824096603121132,3.824096603121132,3.824096603121132
5.680643094516616,5.680643094516616,5.680643094516616
8.020784783173474,8.020784783173474,8.020784783173474
1.3552668278137767,1.3552668278137767,1.3552668278137767
1.2633676969138719,1.2633676969138719,1.2633676969138719
1.2414814232366234,1.2414814232366234,1.2414814232366234
1.498209148439071,1.498209148439071,1.498209148439071
1.6105826125244,1.6105826125244,1.6105826125244
2.479266226228548,2.479266226228548,2.479266226228548
1.949958477444638,1.949958477444638,1.949958477444638
4.078851161329795,4.078851161329795,4.078851161329795
1.5209704333907441,1.5209704333907441,1.5209704333907441
1.5445635971776457,1.5445635971776457,1.5445635971776457
8.739994906294514,8.739994906294514,8.739994906294514
