,0
0,0.0
1,0.0
2,1.0
3,1.0
4,6.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,1.0
12,1.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.037385
23,0.036223
24,0.589233
25,0.140612
26,0.593277
27,0.019959
28,1.0
