0,1,2
281185668176130.56,281185668176130.56,281185668176130.56
321815253188620.9,321815253188620.9,321815253188620.9
453815399308084.5,453815399308084.5,453815399308084.5
304932655051458.4,304932655051458.4,304932655051458.4
346240712663097.25,346240712663097.25,346240712663097.25
286312631388449.5,286312631388449.5,286312631388449.5
320446339129059.56,320446339129059.56,320446339129059.56
311030073269851.1,311030073269851.1,311030073269851.1
387620190498038.56,387620190498038.56,387620190498038.56
311694270549168.4,311694270549168.4,311694270549168.4
464103979589926.5,464103979589926.5,464103979589926.5
254193919290023.34,254193919290023.34,254193919290023.34
898685054773831.8,898685054773831.8,898685054773831.8
314986556647524.6,314986556647524.6,314986556647524.6
709478992126143.1,709478992126143.1,709478992126143.1
529839531095509.4,529839531095509.4,529839531095509.4
286778570210042.25,286778570210042.25,286778570210042.25
236788147203489.03,236788147203489.03,236788147203489.03
640315699585308.2,640315699585308.2,640315699585308.2
