0,1,2
-39496787.64302904,-435452594.62895125,326256884.0255289
-232632348.83080623,94498939.79399255,634591670.2090179
-103234696.17842448,367871204.9670371,1066007638.0745177
-225778755.67293748,127702568.76556467,615650993.8234991
-184459328.60623842,111653180.19820757,753073175.1878741
-295129008.63426465,479008745.9364221,62566285.18241843
-168321235.36908618,129922060.37627284,687205807.8621008
-256893733.99911875,75504628.1722568,574107141.4329914
-160083853.94755507,183106483.135589,879529236.177165
-232906179.9875904,590552781.3758652,104350801.55831926
-63157002.16670261,1.5103068280493597e-71,1201939113.4595878
-179169638.7684135,1.7208716161668393e-70,513734869.8155749
-832565819.6530249,22021122.36539853,1547384427.606944
-116072550.2677579,6.552190145888619e-71,742545963.7156405
-987537815.350681,20062771.805173043,946423444.4736923
-51592039.209262475,9.725521950913233e-72,1392691919.0676024
-137522481.29356572,9.75191052061666e-71,644204181.6369083
-378815060.59782785,2.368651416410879e-70,266643238.46301177
-1783204617.2625945,-37774843.6490237,1707654930.5917807
-2532773.788893268,1.0749986276660378e-73,4372933212.422548
1.0,2.0,
