0,1,2
6.006170929356017,6.006170929356017,6.006170929356017
6.9581788423224875,6.9581788423224875,6.9581788423224875
5.706542243320581,5.706542243320581,5.706542243320581
9.082137983579097,9.082137983579097,9.082137983579097
6.6421489038560955,6.6421489038560955,6.6421489038560955
5.345776255507603,5.345776255507603,5.345776255507603
6.481845285116306,6.481845285116306,6.481845285116306
6.422967064323735,6.422967064323735,6.422967064323735
7.433533745618676,7.433533745618676,7.433533745618676
5.985752569789763,5.985752569789763,5.985752569789763
8.519160499360128,8.519160499360128,8.519160499360128
6.815795071023558,6.815795071023558,6.815795071023558
6.861826663920743,6.861826663920743,6.861826663920743
6.240218043113103,6.240218043113103,6.240218043113103
7.373288530793123,7.373288530793123,7.373288530793123
