,0
0,-0.13674015
1,-1.0473027
2,-0.1888461
3,-0.74177235
4,-1.0644995
5,-0.1322756
6,-0.15640566
7,-1.2200729
8,-0.3536648
9,-1.0315293
10,-0.91348714
11,-0.110752605
12,-1.0602671
13,-1.1872264
14,-1.0093926
15,-0.15519649
16,1.0
