0,1,2
6603702813754.268,6603702813754.268,6603702813754.268
6081411887596.752,6081411887596.752,6081411887596.752
7228115296465.232,7228115296465.232,7228115296465.232
5872947471183.181,5872947471183.181,5872947471183.181
9818107799944.36,9818107799944.36,9818107799944.36
8116875115335.622,8116875115335.622,8116875115335.622
6595977995043.81,6595977995043.81,6595977995043.81
6777922793984.306,6777922793984.306,6777922793984.306
9708468261043.666,9708468261043.666,9708468261043.666
10179043983417.613,10179043983417.613,10179043983417.613
5187673836918.54,5187673836918.54,5187673836918.54
5038694003977.148,5038694003977.148,5038694003977.148
6915125289707.206,6915125289707.206,6915125289707.206
11637295401193.465,11637295401193.465,11637295401193.465
5575107780374.805,5575107780374.805,5575107780374.805
