model,data_type,source_family,eval_split,protocol,selected_config,accuracy_pct,accuracy_std_pct,balanced_accuracy_pct,balanced_accuracy_std_pct,precision_pct,precision_std_pct,sensitivity_pct,sensitivity_std_pct,specificity_pct,specificity_std_pct,f1_pct,f1_std_pct,auc_roc_pct,auc_roc_std_pct,auc_pr_pct,auc_pr_std_pct,mcc_pct,mcc_std_pct,macro_precision_pct,macro_precision_std_pct,macro_recall_pct,macro_recall_std_pct,macro_f1_pct,macro_f1_std_pct,train_time_s,train_time_std_s,test_time_s,test_time_std_s,total_time_s,total_time_std_s,source_path
MLP,Tabular,deep_baseline_KFold,val_mean_5fold,Patient-grouped stratified 5-fold CV with shared deep-baseline train image IDs; fold_manifest_root=ROOT_DATA/train_test_selection/train_kfold; formula_fix cross-SVD fusion.,runner kfold_rerun_20260921; device=cuda,86.01419704399711,5.858973181226839,83.03377233703907,5.243761100324597,36.682066384952634,10.410425731529019,79.4736842105263,11.85525585606411,86.59386046355183,6.786292662916833,49.24699087965876,10.130134271451876,92.64492636642743,2.388065826226696,57.2017959680571,12.390889369586517,47.560655660837504,10.022555138720087,67.33938318105797,5.241360851119052,83.03377233703907,5.243761100324597,70.53033780193178,6.771409539166408,4.7924469400022645,0.635132271505052,0.05185751999670174,0.004215452780541174,4.844304459998966,0.6379648737746366,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\ROOT_DATA\train_test_selection\deep_baselines\kfold_rerun_20260921\summary.csv
ResNet-50,Image,deep_baseline_KFold,val_mean_5fold,Patient-grouped stratified 5-fold CV with shared deep-baseline train image IDs; fold_manifest_root=ROOT_DATA/train_test_selection/train_kfold; formula_fix cross-SVD fusion.,runner kfold_rerun_20260921; device=cuda; resnet_arch=resnet50,69.55179863516341,11.444440937385874,63.2817313889521,5.6477555879756975,16.597963820929742,8.040436964610775,55.78947368421052,18.41071138301855,70.77398909369366,13.744441566267994,23.743698819742736,6.193910052103142,73.03578226418333,4.442957587400674,25.7205644752735,10.425542348171472,17.019698344740757,8.024242206818936,55.767197207771765,4.007224941824644,63.2817313889521,5.6477555879756975,52.10985682069046,6.645204812007953,277.98445758000014,265.26119202574665,2.407794099996681,2.082526333456189,280.39225167999683,267.34319866939165,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\ROOT_DATA\train_test_selection\deep_baselines\kfold_rerun_20260921\summary.csv
Early Fusion (MLP),Multimodal,deep_baseline_KFold,val_mean_5fold,Patient-grouped stratified 5-fold CV with shared deep-baseline train image IDs; fold_manifest_root=ROOT_DATA/train_test_selection/train_kfold; formula_fix cross-SVD fusion.,runner kfold_rerun_20260921; device=cuda; resnet_arch=resnet50,88.57858098144781,3.1046405476959196,78.30362300558333,1.5318787661542563,39.20548757879126,6.3147833106787825,66.05263157894737,5.243383906624019,90.55461443221928,3.7506036221960755,48.720183725664185,4.7938948009715885,89.22521227517827,3.849108904354226,55.75926378464512,9.33330609078581,45.0094555449435,4.237898208819998,68.02040824770948,3.02473962145123,78.30362300558333,1.5318787661542563,71.13574446351707,3.3375820090266997,271.92260044000284,259.5361184935426,2.3784986600017874,2.019795677221576,274.30109910000465,261.55585765823673,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\ROOT_DATA\train_test_selection\deep_baselines\kfold_rerun_20260921\summary.csv
Late Fusion (Ensemble),Multimodal,deep_baseline_KFold,val_mean_5fold,Patient-grouped stratified 5-fold CV with shared deep-baseline train image IDs; fold_manifest_root=ROOT_DATA/train_test_selection/train_kfold; formula_fix cross-SVD fusion.,runner kfold_rerun_20260921; device=cuda; resnet_arch=resnet50,86.84715887658173,5.803358157344034,81.00014646734024,6.627035314020106,39.9927075897423,15.750931592938722,74.05263157894737,18.728265334452978,87.9476613557331,7.570626161937829,49.12769024817217,9.757951155376643,90.88465713071776,2.3536058752588978,49.650931914344945,15.921872364034162,47.29376141409865,9.797786522519218,68.80237401603821,7.55619854707273,81.00014646734024,6.627035314020106,70.73639639474963,6.39685722884113,261.47281398000194,244.52571189283725,1.3761245600035181,0.04113390039254463,262.84893854000546,244.54324031978138,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\ROOT_DATA\train_test_selection\deep_baselines\kfold_rerun_20260921\summary.csv
FKG-UM (Bảng),Unimodal FKG,FKG_KFold,val_mean_5fold,Patient-grouped stratified 5-fold CV with shared deep-baseline train image IDs; fold_manifest_root=ROOT_DATA/train_test_selection/train_kfold; formula_fix cross-SVD fusion.,native FKG rerun; folds=5; features=13,89.81687870786324,2.786076761701854,67.28621603062453,12.020510625694698,36.595238095238095,18.4902836530206,40.421052631578945,24.80854669100283,94.15137942967013,2.8696612085062903,37.261169841815004,19.867922860541324,80.56775826085756,6.2259053324798055,32.78875158053791,15.006995415085381,32.55860347708976,21.1173932634611,65.69285880716401,10.066701121443042,67.28621603062453,12.020510625694698,65.84882246850852,10.456364495354038,4.047463440001593,0.9974150129188467,0.10719791999727021,0.08558683794043147,4.1546613599988635,1.0824667164592294,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\Source_code\data\result\KFold_feature_selection_rerun_20260921\kfold_modality_mean_std_summary.csv
FKG-UM (Ảnh),Unimodal FKG,FKG_KFold,val_mean_5fold,Patient-grouped stratified 5-fold CV with shared deep-baseline train image IDs; fold_manifest_root=ROOT_DATA/train_test_selection/train_kfold; formula_fix cross-SVD fusion.,native FKG rerun; folds=5; features=7,74.2587702753678,5.5028322172040856,55.43381541759278,7.524328914981996,10.796545627634979,4.314128089233111,32.99999999999999,20.595026697087324,77.86763083518558,7.437114248338,15.953455840643343,7.270970380927596,58.55725900066028,8.732852620104937,12.428683282859776,3.671803106306205,6.517895582775343,9.283222460333523,51.955220109789366,2.916944898454398,55.43381541759278,7.524328914981996,50.2842847807119,3.045965424368168,3.682129079999868,0.22271323995442904,0.011733220002497546,0.0010876095046837573,3.6938623000023654,0.22201845909147136,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\Source_code\data\result\KFold_feature_selection_rerun_20260921\kfold_modality_mean_std_summary.csv
FKG-MM (đề xuất),Multimodal FKG,FKG_KFold,val_mean_5fold,Patient-grouped stratified 5-fold CV with shared deep-baseline train image IDs; fold_manifest_root=ROOT_DATA/train_test_selection/train_kfold; formula_fix cross-SVD fusion.,native FKG rerun; folds=5; features=16,91.72216316312884,0.2810364367861845,55.08130782716714,4.707001419563367,39.09090909090909,21.94094252026758,11.421052631578945,10.1811841008446,98.74156302275532,0.8613647723283465,16.618181818181814,12.91039970602497,80.72948714966167,6.557499515699158,24.53384050027749,3.69142009481032,17.25868708288798,12.74210296809467,65.91559460839117,11.13287562273191,55.08130782716714,4.707001419563367,56.129678419022,6.489984007015723,5.462617639999371,1.8614792535939202,0.20837784000032117,0.0546970468498962,5.670995479999692,1.8766280861995535,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\Source_code\data\result\KFold_feature_selection_rerun_20260921\kfold_modality_mean_std_summary.csv
FKG-MM (Filter),Multimodal FKG,FKG_KFold,val_mean_5fold,Patient-grouped stratified 5-fold CV with shared deep-baseline train image IDs; fold_manifest_root=ROOT_DATA/train_test_selection/train_kfold; formula_fix cross-SVD fusion.,native FKG rerun; folds=5; features=16,91.72284901066494,0.638514939642769,56.04425330745979,4.5800207139147115,44.51948051948052,18.554356980651786,13.526315789473683,9.664740152537288,98.56219082544591,0.8606273856797245,19.704570791527313,11.8745778971567,76.0350468511244,4.699024905783076,20.621683089538383,4.497359446983214,20.52754694010206,11.561435187122603,68.70187874126164,9.42710231689616,56.04425330745979,4.5800207139147115,57.66928424124986,6.047974391486441,5.285977899996214,0.30966274146461914,0.1703321200038772,0.01235746505462592,5.456310020000092,0.31873476602736583,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\Source_code\data\result\KFold_feature_selection_rerun_20260921\kfold_modality_mean_std_summary.csv
FKG-MM (Hadamard),Multimodal FKG,FKG_KFold,val_mean_5fold,Patient-grouped stratified 5-fold CV with shared deep-baseline train image IDs; fold_manifest_root=ROOT_DATA/train_test_selection/train_kfold; formula_fix cross-SVD fusion.,native FKG rerun; folds=5; features=5,62.68817941771545,15.109118774607575,54.37973058552964,6.462819927849687,10.657804663903532,3.3070260473404027,44.47368421052632,12.286965820977631,64.28577696053296,17.142053247434134,16.760545422220947,4.212301139570772,56.369414478058225,9.499794370233936,10.828470233699486,2.6715124993682333,5.4234384683179915,7.8956476352678076,51.69504820524195,2.4621265750453576,54.37973058552964,6.462819927849687,45.840389917995914,8.054101560698216,3.4892100199940614,2.1179172384815725,0.0045941200049128385,0.0006247618554714081,3.493804139998974,2.118502689945872,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\Source_code\data\result\KFold_feature_selection_rerun_20260921\kfold_modality_mean_std_summary.csv
FKG-MM (Tensor),Multimodal FKG,FKG_KFold,val_mean_5fold,Patient-grouped stratified 5-fold CV with shared deep-baseline train image IDs; fold_manifest_root=ROOT_DATA/train_test_selection/train_kfold; formula_fix cross-SVD fusion.,native FKG rerun; folds=5; features=30,91.63814683995749,0.5573769355169169,50.78256147637925,2.2708650196940257,10.0,22.360679774997898,2.1052631578947367,4.707511531578504,99.45985979486375,0.5866214517339071,3.4782608695652173,7.777627747825355,55.74217762563429,3.761994402111392,9.59093583433802,1.7203037750104087,3.017686466596704,9.768797266811701,51.04249137671598,11.396595044402405,50.78256147637925,2.2708650196940257,49.55355397313589,3.9607525255166607,7.72743155999342,3.319091380649883,2.1352768000011566,0.4638499241347789,9.862708359994576,3.7658971484828876,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\Source_code\data\result\KFold_feature_selection_rerun_20260921\kfold_modality_mean_std_summary.csv
