Bảng,Mô hình,Dữ liệu/chiến lược,ran,epsilon,Acc (%),F1 (%),AUC-ROC (%),Spec (%),Sens (%),Nguồn,Acc (%) mean,Acc (%) std,F1 (%) mean,F1 (%) std,AUC-ROC (%) mean,AUC-ROC (%) std,Spec (%) mean,Spec (%) std,Sens (%) mean,Sens (%) std
Bang 3.4,FKG-MM,Fusion Hadamard,20,0.2,68.6 ± 14.2,17.6 ± 4.1,58.2 ± 5.9,71.2 ± 16.0,39.0 ± 11.1,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,68.63,14.188,17.594,4.067,58.184,5.932,71.176,16.05,39.0,11.106
Bang 3.4,FKG-MM,Fusion Tensor,20,0.2,91.7 ± 0.3,0.0 ± 0.0,50.4 ± 0.4,99.7 ± 0.2,0.0 ± 0.0,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,91.724,0.305,0.0,0.0,50.36,0.41,99.73,0.247,0.0,0.0
Bang 3.4,FKG-MM,Fusion Wrapper,20,0.2,80.8 ± 5.8,25.6 ± 10.9,63.9 ± 12.2,84.3 ± 6.8,40.9 ± 21.0,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,80.796,5.787,25.568,10.949,63.912,12.213,84.253,6.816,40.895,21.046
Bang 3.5,FKG-UM,Du lieu dang bang full,20,0.3,90.7 ± 1.6,26.6 ± 14.7,71.4 ± 8.3,96.5 ± 2.8,24.7 ± 19.3,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,90.728,1.588,26.645,14.723,71.364,8.255,96.489,2.833,24.684,19.281
Bang 3.5,FKG-UM,Du lieu anh,20,0.3,70.1 ± 6.0,15.2 ± 7.4,56.2 ± 11.1,73.1 ± 7.7,35.9 ± 20.0,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,70.12,5.988,15.25,7.394,56.188,11.114,73.08,7.749,35.895,20.018
Bang 3.5,FKG-MM,Du lieu anh+bang,20,0.3,91.4 ± 0.4,9.9 ± 8.3,66.3 ± 3.8,98.8 ± 0.5,6.2 ± 5.8,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,91.392,0.44,9.918,8.298,66.266,3.765,98.831,0.51,6.211,5.791
Bang 3.5,FKG-MM,Fusion Filter,20,0.3,91.7 ± 0.5,10.2 ± 8.3,62.6 ± 2.1,99.2 ± 0.7,6.2 ± 5.8,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,91.722,0.513,10.173,8.267,62.639,2.111,99.19,0.665,6.211,5.791
Bang 3.5,FKG-MM,Fusion Hadamard,20,0.3,67.7 ± 14.2,15.5 ± 6.1,51.9 ± 10.2,70.7 ± 15.5,34.0 ± 12.0,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,67.726,14.188,15.547,6.106,51.886,10.191,70.653,15.502,34.0,11.998
Bang 3.5,FKG-MM,Fusion Tensor,20,0.3,91.7 ± 0.3,0.0 ± 0.0,50.4 ± 0.3,99.7 ± 0.2,0.0 ± 0.0,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,91.724,0.305,0.0,0.0,50.36,0.341,99.73,0.247,0.0,0.0
Bang 3.5,FKG-MM,Fusion Wrapper,20,0.3,81.1 ± 6.4,27.5 ± 11.3,64.7 ± 12.7,84.5 ± 7.1,42.0 ± 16.5,Source_code/data/result/KFold_feature_selection_rerun_20260921/kfold_fkgs_tables.csv,81.128,6.358,27.495,11.29,64.707,12.663,84.527,7.135,42.0,16.486
