model,data_type,source_family,eval_split,protocol,selected_config,accuracy_pct,accuracy_std_pct,precision_pct,precision_std_pct,recall_pct,recall_std_pct,specificity_pct,specificity_std_pct,f1_pct,f1_std_pct,auc_pct,auc_std_pct,train_time_s,train_time_std_s,test_time_s,test_time_std_s,total_time_s,total_time_std_s,source_path
MLP,Tabular,deep_baseline_KFold,val_mean_5fold,Patient-aware 5-fold validation; no outer test,runner kfold_rerun_cuda_20260905_2200; device=cuda,86.1812009190357,4.131173698381777,35.7159118694102,6.438524227487219,76.42105263157895,14.862807510407066,87.04837642057373,5.2273469246914,47.61073872364195,6.13202807892777,92.26224963078174,2.177289254371497,5.827066520000244,0.5398800212888842,0.061285400000087975,0.003893921744926768,5.888351920000332,0.5417046552881342,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\ROOT_DATA\train_test_selection\deep_baselines\kfold_rerun_cuda_20260905_2200\summary.csv
ResNet-50,Image,deep_baseline_KFold,val_mean_5fold,Patient-aware 5-fold validation; no outer test,runner kfold_rerun_resnet50_cuda_20260906_2130; device=cuda; resnet_arch=resnet50,78.79976681183774,8.374921627822143,19.326278659611994,4.8543691224151235,43.84210526315789,22.490133262896098,81.78540450236574,10.792040542687074,24.191094951540045,4.784309298502174,69.77039333420096,4.751948365160608,393.73615491999954,296.1437298453814,2.3716756800014993,2.0173294680503737,396.107830600001,297.5188820739891,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\ROOT_DATA\train_test_selection\deep_baselines\kfold_rerun_resnet50_cuda_20260906_2130\summary.csv
Early Fusion (MLP),Multimodal,deep_baseline_KFold,val_mean_5fold,Patient-aware 5-fold validation; no outer test,runner kfold_rerun_cuda_20260905_2200; device=cuda; resnet_arch=resnet18,86.84715887658176,6.097528570717462,40.373164541962495,12.527431927307852,77.42105263157895,7.308781194458924,87.69074839504805,7.178134289491424,51.12564222068763,9.602721363635354,92.34888047084523,1.0151524892381687,219.3761723800002,69.1786351171814,1.796575440000197,0.45715538335355776,221.1727478200004,69.63232184873767,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\ROOT_DATA\train_test_selection\deep_baselines\kfold_rerun_cuda_20260905_2200\summary.csv
Late Fusion (Ensemble),Multimodal,deep_baseline_KFold,val_mean_5fold,Patient-aware 5-fold validation; no outer test,runner kfold_rerun_cuda_20260905_2200; device=cuda; resnet_arch=resnet18,88.33133294468641,3.6552928893783787,40.37561146051713,8.763055357597976,76.26315789473684,5.216636502468998,89.38625657697143,3.870871640871967,52.264039489536906,8.142345692548005,91.03691077033758,3.2690798149250107,222.7563805599998,70.36641047446703,1.798738659999799,0.45892544133430585,224.5551192199996,70.8248535307181,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\ROOT_DATA\train_test_selection\deep_baselines\kfold_rerun_cuda_20260905_2200\summary.csv
FKG-UM (Ảnh),Unimodal FKG,FKG_KFold,val_mean_5fold,Patient-aware 5-fold validation; no outer test,native FKG rerun; folds=5; features=7,66.97278096863819,10.737097939108974,50.445309879603386,0.40769026217351584,51.62883410129994,1.713913741101105,69.25227503220277,12.448767518302455,45.3578474121101,3.183974411497449,49.2897060585382,2.7920752486289615,15.463874360000045,4.101466606143655,0.21242943999823183,0.24137978733032053,15.676303799998276,4.339967882365586,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\Source_code\data\result\KFold_feature_selection_rerun_20260905\kfold_modality_mean_std_summary.csv
FKG-UM (Bảng),Unimodal FKG,FKG_KFold,val_mean_5fold,Patient-aware 5-fold validation; no outer test,native FKG rerun; folds=5; features=13,82.10197416898458,1.7649186649953523,56.96748136681302,0.5721287634329054,66.47177906482644,1.2383870852715324,84.4538195124391,1.8139003144068713,58.04960183973864,0.8787290028681181,81.25599981578662,0.5954622952188573,11.152361139996719,0.12018960792308964,0.5274470199976349,0.045257847416915464,11.679808159994355,0.14390717221468213,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\Source_code\data\result\KFold_feature_selection_rerun_20260905\kfold_modality_mean_std_summary.csv
FKG-MM (đề xuất),Multimodal FKG,FKG_KFold,val_mean_5fold,Patient-aware 5-fold validation; no outer test,native FKG rerun; folds=5; features=16,89.99075612203352,1.0251905697414176,65.71427914186671,0.8295820317612699,74.98921011685744,1.351138659090331,92.26476068005248,1.099068327493297,68.82934179371512,0.6959954423799345,86.6107868051581,0.6657621327566396,24.249101020002854,3.2712381824537093,1.467754919998697,0.13207152137186404,25.71685594000155,3.2994915649582452,D:\Study\InternAIRC\source_code_Tan\source_code_Tan\Source_code\data\result\KFold_feature_selection_rerun_20260905\kfold_modality_mean_std_summary.csv
