,0
0,2.476699703818418e+27
1,4.227555799343082e+27
2,3.864799546406076e+27
3,1.595636857510298e+27
4,3.710105881772793e+27
5,3.797187100964917e+26
6,8.547716440338456e+26
7,5.475163435238279e+26
8,1.0
