Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,Mean Feature,Variance Feature,Standard Deviation Feature,RMS Feature,diabetic_retinopathy
1.0,0.9714507553157602,-0.9650265904883153,-0.41813605692580047,-0.6421910481283242,-0.41402662916068755,-0.6255033026655067,-0.5193997178837418,-0.7260919610285781,-0.3857020626724618,0.13568392193455
0.9714507553157602,1.0,-0.9996667953426916,-0.32382202483868494,-0.7234065166593581,-0.322820032504114,-0.6071821893251417,-0.4722340332472915,-0.6916561588869092,-0.3722398980318941,0.12985791614949482
-0.9650265904883153,-0.9996667953426916,1.0,0.3125706346506658,0.730107047890922,0.3119227547827373,0.6034091550403418,0.46586569690486646,0.6858722578126815,0.36962274334047146,-0.12867987678425646
-0.41813605692580047,-0.32382202483868494,0.3125706346506658,1.0,-0.1578825824984666,0.9955549377718946,0.477705693575048,0.6562656810107591,0.6651668280605814,0.23390913503252797,0.038446709235755515
-0.6421910481283242,-0.7234065166593581,0.730107047890922,-0.1578825824984666,1.0,-0.1508150055345893,0.21515092274027825,0.0655308457190447,0.2749642961307234,0.11616300461365761,-0.177664310318638
-0.41402662916068755,-0.322820032504114,0.3119227547827373,0.9955549377718946,-0.1508150055345893,1.0,0.4836178126057663,0.6746936074888784,0.6717068232251977,0.23449416572484652,0.023714724504011832
-0.6255033026655067,-0.6071821893251417,0.6034091550403418,0.477705693575048,0.21515092274027825,0.4836178126057663,1.0,0.9031188157212189,0.9259776493516984,0.7846055186257919,0.012981800340177022
-0.5193997178837418,-0.4722340332472915,0.46586569690486646,0.6562656810107591,0.0655308457190447,0.6746936074888784,0.9031188157212189,1.0,0.9359834296961265,0.6099632750424695,-0.018349672631603756
-0.7260919610285781,-0.6916561588869092,0.6858722578126815,0.6651668280605814,0.2749642961307234,0.6717068232251977,0.9259776493516984,0.9359834296961265,1.0,0.6477343051478621,-0.04432445390460985
-0.3857020626724618,-0.3722398980318941,0.36962274334047146,0.23390913503252797,0.11616300461365761,0.23449416572484652,0.7846055186257919,0.6099632750424695,0.6477343051478621,1.0,0.09920843780906505
0.13568392193455,0.12985791614949482,-0.12867987678425646,0.038446709235755515,-0.177664310318638,0.023714724504011832,0.012981800340177022,-0.018349672631603756,-0.04432445390460985,0.09920843780906505,1.0
